27.377,6.8573,-0.13687,-1.1282,1.2629,1.6379,12.646,0.00029207,-0.16749
28.159,6.8567,-0.1371,-1.1278,1.1928,1.5304,11.914,0.00027483,-0.16772
28.791,6.8591,-0.13741,-1.1276,1.1374,1.4437,11.321,0.00026111,-0.16823
29.176,6.8615,-0.13742,-1.1275,1.1045,1.3901,10.959,0.00025282,-0.16848
29.27,6.8621,-0.13738,-1.1274,1.0966,1.377,10.871,0.0002508,-0.16855
29.506,6.8632,-0.13722,-1.1273,1.0769,1.3439,10.65,0.00024577,-0.16851
30.024,6.8632,-0.13659,-1.1272,1.0343,1.2706,10.164,0.00023472,-0.16812
30.745,6.8563,-0.13591,-1.1269,0.97527,1.1707,9.4926,0.00021944,-0.1671
31.558,6.8508,-0.13717,-1.1267,0.90701,1.0645,8.735,0.00020245,-0.16764
32.34,6.865,-0.13906,-1.1265,0.84317,0.96148,7.996,0.00018647,-0.17029
32.972,6.8808,-0.1379,-1.1263,0.79687,0.86905,7.3952,0.00017366,-0.17086
33.358,6.8808,-0.13565,-1.1262,0.77056,0.80936,7.0332,0.00016579,-0.16923
33.452,6.879,-0.13501,-1.1262,0.76416,0.79486,6.946,0.00016387,-0.16863
33.638,6.8731,-0.13377,-1.1261,0.75128,0.76653,6.774,0.00016004,-0.16723
34.055,6.8509,-0.1319,-1.1261,0.72055,0.70778,6.3954,0.00015146,-0.16401
34.651,6.8178,-0.13414,-1.1259,0.66951,0.63986,5.8579,0.00013937,-0.16284
35.354,6.835,-0.14363,-1.1258,0.60399,0.5724,5.1961,0.00012563,-0.17128
36.078,6.9284,-0.14709,-1.1257,0.55298,0.46954,4.4675,0.00011178,-0.18197
36.737,6.9666,-0.13261,-1.1256,0.53078,0.32638,3.822,9.8781e-05,-0.17463
37.251,6.8821,-0.1162,-1.1255,0.51189,0.21864,3.3806,8.8188e-05,-0.15559
37.559,6.7897,-0.11154,-1.1255,0.48917,0.17841,3.1429,8.1778e-05,-0.14471
37.633,6.766,-0.1116,-1.1255,0.48186,0.17253,3.0868,8.0243e-05,-0.1428
37.684,6.7501,-0.11194,-1.1255,0.47645,0.16946,3.0487,7.9206e-05,-0.14174
37.798,6.7157,-0.11369,-1.1254,0.46297,0.16519,2.9624,7.6891e-05,-0.14015
